Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : NARANJITO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°49'10.85'',Longitud :,78°16'33.54'',Altitud :,500 msnm.
Tipo :,EHA - Hidrológica,Código :,220907
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/12/01,00:00,3.87,0.0
2023/12/01,02:00,3.88,0.0
2023/12/01,04:00,3.90,0.1
2023/12/01,05:00,3.90,0.0
2023/12/01,06:00,3.90,0.0
2023/12/01,07:00,3.91,0.0
2023/12/01,08:00,3.91,0.0
2023/12/01,09:00,3.91,0.1
2023/12/01,10:00,3.91,0.0
2023/12/01,11:00,3.89,0.0
2023/12/01,12:00,3.90,0.0
2023/12/01,13:00,3.92,0.1
2023/12/01,14:00,3.92,0.0
2023/12/01,15:00,3.93,0.0
2023/12/01,16:00,3.94,0.0
2023/12/01,17:00,3.96,0.0
2023/12/01,18:00,3.99,0.1
2023/12/01,19:00,3.99,0.0
2023/12/01,20:00,3.98,0.0
2023/12/01,21:00,3.98,0.0
2023/12/01,22:00,3.98,0.0
2023/12/01,23:00,3.97,0.0
2023/12/02,00:00,3.96,0.1
2023/12/02,01:00,3.96,0.0
2023/12/02,02:00,3.97,0.0
2023/12/02,03:00,3.97,0.0
2023/12/02,04:00,3.98,0.0
2023/12/02,05:00,3.99,0.1
2023/12/02,06:00,4.06,0.0
2023/12/02,07:00,4.14,0.0
2023/12/02,08:00,4.16,0.0
2023/12/02,09:00,4.13,0.0
2023/12/02,10:00,4.11,0.1
2023/12/02,11:00,4.10,0.0
2023/12/02,12:00,4.11,0.0
2023/12/02,13:00,4.10,0.0
2023/12/02,14:00,4.11,0.0
2023/12/02,15:00,4.09,0.0
2023/12/02,16:00,4.09,0.1
2023/12/02,17:00,4.07,0.0
2023/12/02,18:00,4.07,0.0
2023/12/02,19:00,4.06,0.0
2023/12/02,20:00,4.05,0.0
2023/12/02,21:00,4.03,0.0
2023/12/02,22:00,4.02,0.1
2023/12/02,23:00,4.02,0.0
2023/12/03,00:00,4.01,0.0
2023/12/03,01:00,4.01,0.0
2023/12/03,02:00,4.00,0.0
2023/12/03,03:00,3.99,0.1
2023/12/03,04:00,3.98,0.0
2023/12/03,05:00,3.98,0.0
2023/12/03,06:00,3.98,0.0
2023/12/03,07:00,3.95,0.0
2023/12/03,08:00,3.94,0.0
2023/12/03,09:00,3.93,0.1
2023/12/03,10:00,3.93,0.0
2023/12/03,11:00,3.94,0.0
2023/12/03,12:00,3.93,0.0
2023/12/03,13:00,3.90,0.0
2023/12/03,14:00,3.92,0.0
2023/12/03,15:00,3.96,0.0
2023/12/03,17:00,3.91,0.0
2023/12/03,21:00,3.92,0.0
2023/12/03,22:00,3.92,0.0
2023/12/03,23:00,3.91,0.0
2023/12/04,00:00,3.91,0.0
2023/12/04,01:00,3.90,0.0
2023/12/04,02:00,3.90,0.1
2023/12/04,03:00,S/D,0.0
2023/12/04,04:00,3.90,0.0
2023/12/04,05:00,3.89,0.0
2023/12/04,06:00,3.89,0.0
2023/12/04,07:00,3.88,0.0
2023/12/04,11:00,3.90,0.0
2023/12/04,12:00,S/D,0.0
2023/12/04,13:00,3.90,0.0
2023/12/04,14:00,3.92,0.0
2023/12/04,16:00,3.90,0.0
2023/12/04,20:00,3.90,0.0
2023/12/04,21:00,3.89,0.0
2023/12/05,15:00,3.90,0.0
2023/12/05,19:00,3.92,0.0
2023/12/06,05:00,S/D,0.0
2023/12/06,06:00,3.92,0.0
2023/12/06,08:00,3.90,0.0
2023/12/06,09:00,3.90,0.1
2023/12/06,20:00,4.16,0.0
2023/12/07,14:00,4.05,0.0
2023/12/07,16:00,4.07,0.0
2023/12/08,09:00,3.97,0.0
2023/12/08,10:00,4.00,0.0
2023/12/08,11:00,4.01,0.0
2023/12/08,12:00,4.01,0.0
2023/12/08,13:00,4.04,0.0
2023/12/08,15:00,4.01,0.0
2023/12/08,16:00,4.02,0.0
2023/12/09,09:00,4.34,0.0
2023/12/09,10:00,4.35,0.0
2023/12/09,16:00,4.46,0.0
2023/12/10,10:00,4.59,0.0
2023/12/10,11:00,4.57,0.0
2023/12/10,12:00,4.52,0.0
2023/12/14,17:00,4.29,0.1
2023/12/14,18:00,4.29,0.0
2023/12/14,20:00,4.34,0.1
2023/12/14,21:00,4.36,0.0
