Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/04/01,00:00,8.34,0.0
2023/04/01,01:00,8.33,2.3
2023/04/01,02:00,8.31,0.1
2023/04/01,03:00,8.36,0.2
2023/04/01,04:00,8.45,0.3
2023/04/01,05:00,8.50,0.1
2023/04/01,06:00,8.60,0.1
2023/04/01,07:00,9.00,0.0
2023/04/01,08:00,9.28,0.0
2023/04/01,09:00,9.28,0.0
2023/04/01,10:00,9.25,0.0
2023/04/01,11:00,9.15,0.0
2023/04/01,12:00,9.13,0.0
2023/04/01,13:00,9.00,0.0
2023/04/01,14:00,8.88,0.0
2023/04/01,15:00,8.86,0.0
2023/04/01,16:00,8.81,0.0
2023/04/01,17:00,8.75,0.0
2023/04/01,18:00,8.65,0.0
2023/04/01,19:00,8.63,0.0
2023/04/01,20:00,8.63,0.1
2023/04/01,21:00,8.61,0.0
2023/04/01,22:00,8.56,0.0
2023/04/01,23:00,8.53,0.1
2023/04/02,00:00,8.55,0.0
2023/04/02,01:00,8.53,0.0
2023/04/02,02:00,8.54,0.0
2023/04/02,03:00,8.56,0.0
2023/04/02,04:00,8.53,0.0
2023/04/02,05:00,8.52,0.0
2023/04/02,06:00,8.44,0.0
2023/04/02,07:00,8.53,0.0
2023/04/02,08:00,8.47,0.0
2023/04/02,09:00,8.47,0.0
2023/04/02,10:00,8.51,0.0
2023/04/02,11:00,8.47,0.0
2023/04/02,12:00,8.45,0.0
2023/04/02,13:00,8.40,0.1
2023/04/02,14:00,8.41,0.0
2023/04/02,15:00,8.27,0.0
2023/04/02,16:00,8.30,0.0
2023/04/02,17:00,8.26,0.0
2023/04/02,18:00,8.20,0.0
2023/04/02,19:00,8.23,0.0
2023/04/02,20:00,8.23,1.0
2023/04/02,21:00,8.29,1.6
2023/04/02,22:00,8.31,4.5
2023/04/02,23:00,8.37,3.8
2023/04/03,00:00,8.47,0.1
2023/04/03,01:00,8.48,0.0
2023/04/03,02:00,8.54,0.1
2023/04/03,03:00,8.62,0.0
2023/04/03,04:00,8.70,0.5
2023/04/03,05:00,8.73,0.0
2023/04/03,06:00,8.79,0.0
2023/04/03,07:00,9.01,0.4
2023/04/03,08:00,9.11,0.4
2023/04/03,09:00,9.22,0.0
2023/04/03,10:00,9.22,0.3
2023/04/03,11:00,9.21,0.1
2023/04/03,12:00,9.22,0.0
2023/04/03,13:00,9.20,0.0
2023/04/03,14:00,9.24,0.0
2023/04/03,15:00,9.46,0.0
2023/04/03,16:00,9.59,9.0
2023/04/03,17:00,9.65,5.2
2023/04/03,18:00,9.62,0.6
2023/04/03,19:00,9.63,0.1
2023/04/03,20:00,9.58,0.0
2023/04/03,21:00,9.38,0.0
2023/04/03,22:00,9.31,0.0
2023/04/03,23:00,9.21,0.0
2023/04/04,00:00,9.08,0.0
2023/04/04,01:00,9.01,0.0
2023/04/04,02:00,8.95,0.0
2023/04/04,03:00,8.94,0.0
2023/04/04,04:00,8.96,0.0
2023/04/04,05:00,8.99,0.0
2023/04/04,06:00,8.95,0.0
2023/04/04,07:00,8.94,0.0
2023/04/04,08:00,8.91,0.0
2023/04/04,09:00,8.91,0.0
2023/04/04,10:00,8.93,0.0
2023/04/04,11:00,9.00,0.0
2023/04/04,12:00,9.05,0.0
2023/04/04,13:00,9.05,0.0
2023/04/04,14:00,9.02,0.0
2023/04/04,15:00,8.92,0.0
2023/04/04,16:00,8.88,0.0
2023/04/04,17:00,8.84,0.0
2023/04/04,18:00,8.80,0.0
2023/04/04,19:00,8.67,0.0
2023/04/04,20:00,8.57,0.0
2023/04/04,21:00,8.57,0.0
2023/04/04,22:00,8.47,0.0
2023/04/04,23:00,8.43,0.0
2023/04/05,00:00,8.46,0.0
2023/04/05,01:00,8.44,0.0
2023/04/05,02:00,8.38,0.0
2023/04/05,03:00,8.38,0.0
2023/04/05,04:00,8.34,0.0
2023/04/05,05:00,S/D,0.0
2023/04/05,06:00,S/D,0.4
2023/04/05,07:00,8.39,0.1
2023/04/05,08:00,8.39,0.0
2023/04/05,09:00,8.37,0.0
2023/04/05,10:00,8.35,0.0
2023/04/05,11:00,8.37,0.0
2023/04/05,12:00,8.37,0.0
2023/04/05,13:00,8.39,0.1
2023/04/05,14:00,S/D,0.0
2023/04/05,15:00,8.35,0.0
2023/04/05,16:00,8.33,0.0
2023/04/05,17:00,8.27,0.0
2023/04/05,18:00,8.20,0.0
2023/04/05,19:00,8.18,0.0
2023/04/05,20:00,8.17,0.0
2023/04/05,21:00,8.04,0.0
2023/04/05,22:00,8.09,0.0
2023/04/05,23:00,S/D,0.0
2023/04/06,00:00,8.18,0.0
2023/04/06,01:00,8.20,0.0
2023/04/06,02:00,8.18,0.0
2023/04/06,03:00,8.19,0.0
2023/04/06,04:00,8.16,0.0
2023/04/06,05:00,8.17,0.0
2023/04/06,06:00,8.15,0.0
2023/04/06,07:00,8.16,0.0
2023/04/06,08:00,8.20,0.0
2023/04/06,09:00,8.15,0.0
2023/04/06,10:00,8.14,0.0
2023/04/06,11:00,8.11,0.0
2023/04/06,12:00,8.12,0.0
2023/04/06,13:00,8.11,0.0
2023/04/06,14:00,8.14,0.0
2023/04/06,15:00,8.12,0.0
2023/04/06,16:00,8.06,0.0
2023/04/06,17:00,8.05,0.0
2023/04/06,18:00,7.97,0.0
2023/04/06,19:00,8.00,0.0
2023/04/06,20:00,8.00,0.0
2023/04/06,21:00,8.01,0.0
2023/04/06,23:00,7.96,0.2
2023/04/07,00:00,8.00,0.1
2023/04/07,01:00,8.03,2.5
2023/04/07,02:00,8.05,1.7
2023/04/07,03:00,8.15,0.3
2023/04/07,04:00,8.30,0.1
2023/04/07,05:00,8.41,0.1
2023/04/07,06:00,8.49,0.0
2023/04/07,07:00,8.53,0.0
2023/04/07,08:00,8.77,0.0
2023/04/07,09:00,9.06,0.0
2023/04/07,10:00,9.17,0.0
2023/04/07,11:00,9.22,0.0
2023/04/07,12:00,9.25,0.0
2023/04/07,13:00,9.34,0.0
2023/04/07,14:00,9.35,0.0
2023/04/07,15:00,9.31,0.0
2023/04/07,16:00,9.22,0.0
2023/04/07,17:00,9.26,0.0
2023/04/07,18:00,9.09,0.0
2023/04/07,19:00,9.00,0.0
2023/04/07,20:00,8.97,0.0
2023/04/07,21:00,8.97,0.0
2023/04/07,22:00,8.96,0.0
2023/04/07,23:00,8.89,0.0
2023/04/08,00:00,8.80,0.0
2023/04/08,01:00,8.70,0.0
2023/04/08,02:00,8.67,15.5
2023/04/08,03:00,8.67,4.8
2023/04/08,04:00,8.74,7.6
2023/04/08,05:00,8.90,6.5
2023/04/08,06:00,9.00,5.1
2023/04/08,07:00,9.12,2.9
2023/04/08,08:00,9.23,1.5
2023/04/08,09:00,9.35,1.2
2023/04/08,10:00,9.40,0.9
2023/04/08,11:00,9.38,0.9
2023/04/08,12:00,9.52,1.0
2023/04/08,13:00,9.52,2.0
2023/04/08,14:00,9.56,1.4
2023/04/08,15:00,9.63,0.3
2023/04/08,16:00,9.63,0.0
2023/04/08,17:00,9.83,0.0
2023/04/08,18:00,10.17,0.0
2023/04/08,19:00,10.53,0.0
2023/04/08,20:00,10.79,0.0
2023/04/08,21:00,11.06,0.0
2023/04/08,22:00,11.13,0.0
2023/04/08,23:00,11.07,0.0
2023/04/09,00:00,10.99,0.0
2023/04/09,01:00,10.82,0.0
2023/04/09,02:00,10.84,0.0
2023/04/09,03:00,10.74,0.0
2023/04/09,04:00,10.69,0.0
2023/04/09,05:00,10.58,0.0
2023/04/09,06:00,10.51,0.0
2023/04/09,07:00,10.37,0.0
2023/04/09,08:00,10.26,0.0
2023/04/09,09:00,10.07,0.0
2023/04/09,10:00,9.93,0.0
2023/04/09,11:00,9.77,0.0
