Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LOS NARANJOS
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
Latitud :,5°45'20.46'',Longitud :,78°25'53.55'',Altitud :,427 msnm.
Tipo :,HLG - Hidrológica,Código :,221501
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-10-01,0.200,0.190,0.190,0.180
2018-10-02,0.400,0.380,0.370,0.370
2018-10-03,0.380,0.360,0.350,0.340
2018-10-04,0.300,0.330,0.350,0.320
2018-10-05,0.450,0.430,0.430,0.400
2018-10-06,0.460,0.450,0.440,0.420
2018-10-07,0.800,0.770,0.750,0.740
2018-10-08,0.680,0.660,0.650,0.630
2018-10-09,1.150,1.260,1.200,1.150
2018-10-10,0.900,0.890,0.880,0.860
2018-10-11,0.550,0.530,0.510,0.500
2018-10-12,0.400,0.390,0.380,0.360
2018-10-13,0.320,0.310,0.300,0.300
2018-10-14,0.260,0.250,0.240,0.230
2018-10-15,0.300,0.280,0.260,0.260
2018-10-16,0.400,0.380,0.370,0.350
2018-10-17,0.460,0.450,0.430,0.350
2018-10-18,0.500,0.470,0.460,0.450
2018-10-19,0.510,0.480,0.470,0.440
2018-10-20,0.560,0.540,0.530,0.510
2018-10-21,0.640,0.420,0.610,0.600
2018-10-22,0.570,0.510,0.500,0.490
2018-10-23,0.450,0.430,0.420,0.400
2018-10-24,0.400,0.380,0.380,0.380
2018-10-25,0.330,0.320,0.310,0.300
2018-10-26,0.280,0.260,0.250,0.250
2018-10-27,0.250,0.240,0.230,0.220
2018-10-28,0.770,0.750,0.720,0.700
2018-10-29,0.500,0.480,0.460,0.450
2018-10-30,0.460,0.450,0.430,0.410
2018-10-31,0.560,0.510,0.510,0.500
