Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : TAMBOPATA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'33'',Longitud :,69°10'31.04'',Altitud :,198 msnm.
Tipo :,EHA - Hidrológica,Código :,260002
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/09/14,15:00,S/D,S/D
2024/09/14,16:00,S/D,S/D
2024/09/14,17:00,S/D,S/D
2024/09/14,18:00,S/D,S/D
2024/09/14,19:00,S/D,S/D
2024/09/14,20:00,S/D,S/D
2024/09/14,21:00,S/D,S/D
2024/09/14,22:00,S/D,S/D
2024/09/14,23:00,S/D,S/D
2024/09/15,00:00,S/D,S/D
2024/09/15,01:00,S/D,S/D
2024/09/17,15:00,S/D,S/D
2024/09/17,16:00,S/D,S/D
2024/09/17,17:00,S/D,S/D
2024/09/17,19:00,S/D,S/D
2024/09/17,20:00,S/D,S/D
2024/09/17,21:00,S/D,S/D
2024/09/17,22:00,S/D,S/D
2024/09/17,23:00,S/D,S/D
2024/09/18,00:00,S/D,S/D
2024/09/18,01:00,S/D,S/D
2024/09/18,02:00,S/D,S/D
2024/09/18,03:00,S/D,S/D
2024/09/18,04:00,S/D,S/D
2024/09/18,05:00,S/D,S/D
2024/09/18,09:00,S/D,S/D
2024/09/20,12:00,S/D,S/D
2024/09/20,13:00,S/D,S/D
2024/09/20,14:00,S/D,S/D
2024/09/20,15:00,S/D,S/D
2024/09/20,16:00,S/D,S/D
2024/09/20,17:00,S/D,S/D
2024/09/20,18:00,S/D,S/D
2024/09/20,19:00,S/D,S/D
2024/09/20,20:00,S/D,S/D
2024/09/20,21:00,S/D,S/D
2024/09/20,22:00,S/D,S/D
2024/09/20,23:00,S/D,S/D
2024/09/21,00:00,S/D,S/D
2024/09/21,01:00,S/D,S/D
2024/09/21,02:00,S/D,S/D
2024/09/21,03:00,S/D,S/D
2024/09/21,04:00,S/D,S/D
2024/09/21,05:00,S/D,S/D
2024/09/21,06:00,S/D,S/D
2024/09/21,07:00,S/D,S/D
2024/09/21,08:00,S/D,S/D
2024/09/21,09:00,S/D,S/D
2024/09/21,10:00,S/D,S/D
2024/09/21,11:00,S/D,S/D
2024/09/21,12:00,S/D,S/D
2024/09/21,13:00,S/D,S/D
2024/09/21,14:00,S/D,S/D
2024/09/21,15:00,S/D,S/D
2024/09/21,16:00,S/D,S/D
2024/09/21,17:00,S/D,S/D
2024/09/21,18:00,S/D,S/D
2024/09/21,19:00,S/D,S/D
2024/09/21,20:00,S/D,S/D
2024/09/21,22:00,S/D,S/D
2024/09/21,23:00,S/D,S/D
2024/09/22,00:00,S/D,S/D
2024/09/22,02:00,S/D,S/D
2024/09/22,03:00,S/D,S/D
2024/09/22,04:00,S/D,S/D
2024/09/22,05:00,S/D,S/D
2024/09/22,06:00,S/D,S/D
2024/09/22,07:00,S/D,S/D
2024/09/22,08:00,S/D,S/D
2024/09/22,09:00,S/D,S/D
2024/09/22,10:00,S/D,S/D
2024/09/22,11:00,S/D,S/D
2024/09/22,12:00,S/D,S/D
2024/09/22,13:00,S/D,S/D
2024/09/22,14:00,S/D,S/D
2024/09/22,15:00,S/D,S/D
2024/09/22,16:00,S/D,S/D
2024/09/22,17:00,S/D,S/D
2024/09/22,18:00,S/D,S/D
2024/09/22,19:00,S/D,S/D
2024/09/22,20:00,S/D,S/D
2024/09/22,21:00,S/D,S/D
2024/09/22,22:00,S/D,S/D
2024/09/22,23:00,S/D,S/D
2024/09/23,00:00,S/D,S/D
2024/09/23,01:00,S/D,S/D
2024/09/23,02:00,S/D,S/D
2024/09/23,03:00,S/D,S/D
2024/09/23,04:00,S/D,S/D
2024/09/23,05:00,S/D,S/D
2024/09/23,06:00,S/D,S/D
2024/09/23,07:00,S/D,S/D
2024/09/23,08:00,S/D,S/D
2024/09/23,09:00,S/D,S/D
2024/09/23,10:00,S/D,S/D
2024/09/23,14:00,S/D,S/D
2024/09/23,17:00,S/D,S/D
2024/09/24,11:00,S/D,S/D
2024/09/24,12:00,S/D,S/D
2024/09/24,13:00,S/D,S/D
2024/09/24,15:00,S/D,S/D
2024/09/24,16:00,S/D,S/D
2024/09/24,17:00,S/D,S/D
2024/09/24,18:00,S/D,S/D
2024/09/24,19:00,S/D,S/D
2024/09/24,20:00,S/D,S/D
2024/09/24,21:00,S/D,S/D
2024/09/24,22:00,S/D,S/D
2024/09/25,08:00,S/D,S/D
2024/09/25,09:00,S/D,S/D
2024/09/25,10:00,S/D,S/D
2024/09/25,11:00,S/D,S/D
2024/09/25,12:00,S/D,S/D
2024/09/25,13:00,S/D,S/D
2024/09/25,14:00,S/D,S/D
2024/09/25,15:00,S/D,S/D
2024/09/25,16:00,S/D,S/D
2024/09/25,17:00,S/D,S/D
2024/09/25,18:00,S/D,S/D
2024/09/25,19:00,S/D,S/D
2024/09/25,20:00,S/D,S/D
2024/09/25,21:00,S/D,S/D
2024/09/25,22:00,S/D,S/D
2024/09/25,23:00,S/D,S/D
2024/09/26,00:00,S/D,S/D
2024/09/26,01:00,S/D,S/D
2024/09/26,02:00,S/D,S/D
2024/09/26,03:00,S/D,S/D
2024/09/26,04:00,S/D,S/D
2024/09/26,05:00,S/D,S/D
2024/09/26,06:00,S/D,S/D
2024/09/26,07:00,S/D,S/D
2024/09/26,15:00,S/D,S/D
2024/09/26,16:00,S/D,S/D
2024/09/26,17:00,S/D,S/D
2024/09/26,18:00,S/D,S/D
2024/09/26,19:00,S/D,S/D
2024/09/26,20:00,S/D,S/D
2024/09/26,21:00,S/D,S/D
2024/09/26,22:00,S/D,S/D
2024/09/26,23:00,S/D,S/D
2024/09/27,00:00,S/D,S/D
2024/09/27,01:00,S/D,S/D
2024/09/27,02:00,S/D,S/D
2024/09/27,03:00,S/D,S/D
2024/09/27,04:00,S/D,S/D
2024/09/27,05:00,S/D,S/D
2024/09/27,06:00,S/D,S/D
2024/09/27,07:00,S/D,S/D
2024/09/27,08:00,S/D,S/D
2024/09/27,09:00,S/D,S/D
2024/09/27,10:00,S/D,S/D
2024/09/27,11:00,S/D,S/D
2024/09/27,12:00,S/D,S/D
2024/09/27,13:00,S/D,S/D
2024/09/27,14:00,S/D,S/D
2024/09/27,15:00,S/D,S/D
2024/09/27,16:00,S/D,S/D
2024/09/27,17:00,S/D,S/D
2024/09/27,18:00,S/D,S/D
2024/09/27,19:00,S/D,S/D
2024/09/27,21:00,S/D,S/D
2024/09/27,22:00,S/D,S/D
2024/09/27,23:00,S/D,S/D
2024/09/28,00:00,S/D,S/D
2024/09/28,01:00,S/D,S/D
2024/09/28,02:00,S/D,S/D
2024/09/28,03:00,S/D,S/D
