Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MALINOWSKY
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/07/01,00:00,16.8,0.0,89,168,0.0
2025/07/01,01:00,16.5,0.0,88,111,0.0
2025/07/01,02:00,16.3,0.0,87,162,0.0
2025/07/01,03:00,15.9,0.0,86,176,0.0
2025/07/01,04:00,15.7,0.0,87,179,0.0
2025/07/01,05:00,15.5,0.0,87,176,0.0
2025/07/01,06:00,15.3,0.0,88,159,0.0
2025/07/01,07:00,15.1,0.0,88,174,0.0
2025/07/01,08:00,14.8,0.0,86,161,0.0
2025/07/01,09:00,15.0,0.0,84,168,0.0
2025/07/01,10:00,15.9,0.0,80,126,0.0
2025/07/01,11:00,17.3,0.0,74,191,0.0
2025/07/01,12:00,18.6,0.0,71,192,0.0
2025/07/01,13:00,19.2,0.0,69,189,0.0
2025/07/01,14:00,20.0,0.0,66,180,1.0
2025/07/01,15:00,20.0,0.0,66,199,1.1
2025/07/01,16:00,19.4,0.0,75,216,2.2
2025/07/01,17:00,19.3,0.0,75,200,1.5
2025/07/01,18:00,18.6,0.0,83,202,2.0
2025/07/01,19:00,17.9,0.0,89,61,3.9
2025/07/01,20:00,17.7,0.0,91,104,4.6
2025/07/01,21:00,17.4,0.0,92,133,4.5
2025/07/01,22:00,17.2,0.0,88,167,4.4
2025/07/01,23:00,16.8,0.0,88,146,3.3
2025/07/02,00:00,15.7,0.0,93,52,2.5
2025/07/02,01:00,15.1,0.0,94,168,3.0
2025/07/02,02:00,15.3,0.0,89,107,3.1
2025/07/02,03:00,15.0,0.0,90,110,3.1
2025/07/02,04:00,14.7,0.0,89,164,2.8
2025/07/02,05:00,14.5,0.0,90,163,2.5
2025/07/02,06:00,14.3,0.0,90,77,2.8
2025/07/02,07:00,14.2,0.0,90,140,2.7
2025/07/02,08:00,14.0,0.0,87,169,2.6
2025/07/02,09:00,14.0,0.0,84,168,2.9
2025/07/02,10:00,14.2,0.0,82,172,3.1
2025/07/02,11:00,14.7,0.0,80,189,0.0
2025/07/02,12:00,15.7,0.0,77,196,0.0
2025/07/02,13:00,16.7,0.0,75,157,0.0
2025/07/02,14:00,17.3,0.0,74,195,0.0
2025/07/02,15:00,17.7,0.0,74,221,0.0
2025/07/02,16:00,17.6,0.0,76,185,0.8
