Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/09/01,00:00,26.2,0.0,82,S/D,0.0
2025/09/01,01:00,25.8,0.0,83,S/D,0.0
2025/09/01,02:00,25.7,0.0,84,S/D,0.0
2025/09/01,03:00,25.3,0.0,85,S/D,0.0
2025/09/01,04:00,24.8,0.0,86,S/D,0.0
2025/09/01,05:00,24.3,0.0,87,S/D,0.0
2025/09/01,06:00,23.8,0.0,88,S/D,0.0
2025/09/01,07:00,24.8,0.0,86,S/D,0.0
2025/09/01,08:00,26.5,0.0,81,S/D,0.0
2025/09/01,09:00,28.7,0.0,75,S/D,0.0
2025/09/01,10:00,30.3,0.0,71,S/D,0.0
2025/09/01,11:00,31.8,0.0,66,S/D,0.0
2025/09/01,12:00,33.3,0.0,62,S/D,0.0
2025/09/01,13:00,34.2,0.0,57,S/D,0.0
2025/09/01,14:00,35.0,0.0,55,S/D,0.0
2025/09/01,15:00,35.1,0.0,54,S/D,0.0
2025/09/01,16:00,34.0,0.0,56,S/D,0.0
2025/09/01,17:00,31.9,0.0,63,S/D,0.0
2025/09/01,18:00,30.6,0.0,70,S/D,0.0
2025/09/01,19:00,29.4,0.0,75,S/D,0.0
2025/09/01,20:00,28.0,0.0,81,S/D,0.0
2025/09/01,21:00,28.1,0.0,81,S/D,0.0
2025/09/01,22:00,26.8,0.0,85,S/D,0.0
2025/09/01,23:00,26.6,0.0,86,S/D,0.0
2025/09/02,00:00,26.0,0.0,88,S/D,0.0
2025/09/02,01:00,25.5,0.0,90,S/D,0.0
2025/09/02,02:00,25.2,0.0,90,S/D,0.0
2025/09/02,03:00,25.2,0.0,89,23.1,0.0
2025/09/02,04:00,25.0,0.0,89,S/D,0.0
2025/09/02,05:00,24.5,0.0,89,27.3,0.0
2025/09/02,06:00,24.1,0.0,88,S/D,0.0
2025/09/02,07:00,24.5,0.0,89,20.4,0.2
2025/09/02,08:00,26.2,0.0,84,29.8,0.3
2025/09/02,09:00,27.7,0.0,82,29.5,0.8
2025/09/02,10:00,30.0,0.0,74,31.5,0.1
2025/09/02,11:00,28.4,0.0,74,33.7,2.4
2025/09/02,12:00,27.5,0.0,75,34.5,1.8
2025/09/02,13:00,27.5,0.0,75,2.2,0.2
2025/09/02,14:00,28.3,0.0,75,S/D,0.0
2025/09/02,15:00,30.3,0.0,70,8.3,0.0
2025/09/02,16:00,27.7,0.0,76,6,3.2
2025/09/02,17:00,27.3,0.0,76,34.6,0.6
2025/09/02,18:00,26.3,0.0,80,27.3,0.7
2025/09/02,19:00,25.9,0.0,82,3.7,0.6
2025/09/02,20:00,25.8,0.0,83,5.3,0.7
2025/09/02,21:00,25.2,0.0,84,28.7,0.5
2025/09/02,22:00,25.0,0.0,85,21.9,0.5
2025/09/02,23:00,24.5,0.0,86,17.3,0.1
2025/09/03,00:00,24.1,0.0,88,1.7,0.4
2025/09/03,01:00,23.9,0.0,89,2.8,0.3
2025/09/03,02:00,23.6,0.0,90,31,0.3
2025/09/03,03:00,23.3,0.0,92,33,0.3
2025/09/03,04:00,23.2,0.0,93,31.9,0.7
2025/09/03,05:00,23.0,0.0,94,2.6,0.2
2025/09/03,06:00,23.0,0.0,94,29.3,0.6
2025/09/03,07:00,23.2,0.0,94,28.6,1.2
2025/09/03,08:00,24.0,0.0,93,31.5,0.6
2025/09/03,09:00,25.0,0.0,89,S/D,0.0
2025/09/03,10:00,26.8,0.0,84,S/D,0.0
2025/09/03,11:00,28.3,0.0,79,S/D,0.0
2025/09/03,12:00,29.5,0.0,75,29.8,1.1
2025/09/03,13:00,31.7,0.0,67,29.8,0.0
2025/09/03,14:00,32.1,0.0,65,S/D,0.0
2025/09/03,15:00,31.5,0.0,68,S/D,0.0
2025/09/03,16:00,31.5,0.0,66,S/D,0.0
2025/09/03,17:00,30.5,0.0,69,S/D,0.0
2025/09/03,18:00,29.2,0.0,74,S/D,0.0
2025/09/03,19:00,27.6,0.0,79,S/D,0.0
2025/09/03,20:00,27.2,0.0,82,S/D,0.0
2025/09/03,21:00,26.3,0.0,85,S/D,0.0
2025/09/03,22:00,25.6,0.0,88,21,0.1
2025/09/03,23:00,25.3,0.0,87,17.4,0.0
2025/09/04,00:00,24.6,0.0,89,S/D,0.0
2025/09/04,01:00,24.1,0.0,90,35.4,0.0
2025/09/04,02:00,23.9,0.0,92,28.7,0.1
2025/09/04,03:00,23.9,0.0,93,22.8,0.2
2025/09/04,04:00,23.8,0.0,94,2.4,0.2
2025/09/04,05:00,23.6,0.0,94,25.3,0.4
2025/09/04,06:00,23.3,0.0,94,20.8,0.4
2025/09/04,07:00,23.9,0.0,94,25.6,0.6
