Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : SALVACION
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/04/01,00:00,21.8,0.0,100,161,0.6
2025/04/01,02:00,21.9,0.0,100,136,0.8
2025/04/01,03:00,22.0,0.6,99,131,0.3
2025/04/01,04:00,22.0,0.0,99,107,0.7
2025/04/01,05:00,22.0,0.0,98,33,0.2
2025/04/01,06:00,21.7,0.0,99,86,0.5
2025/04/01,07:00,21.5,0.0,100,252,0.0
2025/04/01,08:00,21.7,0.2,100,116,0.9
2025/04/01,09:00,22.9,0.0,95,349,0.3
2025/04/01,10:00,24.4,0.0,89,138,1.0
2025/04/01,11:00,25.5,0.0,86,161,0.8
2025/04/01,12:00,27.1,0.0,79,343,0.8
2025/04/01,13:00,25.3,2.0,90,243,0.7
2025/04/01,14:00,26.8,0.0,85,14,1.5
2025/04/01,15:00,28.4,0.0,79,308,2.4
2025/04/01,16:00,29.2,0.0,75,284,2.9
2025/04/01,17:00,28.0,0.0,79,47,1.1
2025/04/01,18:00,24.4,3.0,94,121,1.0
2025/04/01,19:00,23.8,0.0,96,131,0.8
2025/04/01,22:00,23.3,S/D,96,S/D,1.0
2025/04/02,00:00,22.1,5.2,100,167,0.5
2025/04/02,03:00,21.0,7.8,100,300,1.0
2025/04/02,04:00,20.9,5.4,100,284,1.4
2025/04/02,05:00,20.7,3.2,100,276,1.1
2025/04/02,06:00,20.5,2.0,100,296,1.4
2025/04/02,07:00,20.3,1.0,100,281,0.8
2025/04/02,08:00,20.2,1.4,100,267,0.9
2025/04/02,09:00,20.4,0.8,100,272,1.3
2025/04/02,10:00,20.7,0.8,100,294,1.0
2025/04/02,11:00,21.1,0.0,100,259,1.2
2025/04/02,12:00,21.6,0.0,100,266,1.3
2025/04/02,13:00,22.0,0.4,100,279,1.2
2025/04/02,14:00,23.3,0.0,98,284,0.7
2025/04/02,15:00,25.9,0.0,86,231,1.4
2025/04/02,16:00,25.1,0.0,84,264,1.6
2025/04/02,17:00,25.1,0.0,84,290,1.0
2025/04/02,18:00,25.1,0.0,84,260,1.2
2025/04/02,21:00,22.4,0.0,96,260,0.0
2025/04/02,23:00,22.1,0.0,97,258,0.9
2025/04/03,00:00,21.8,0.0,99,252,0.2
2025/04/03,01:00,21.6,0.0,98,262,0.0
2025/04/03,02:00,21.4,0.0,99,70,0.0
2025/04/03,03:00,21.3,0.0,98,291,0.5
2025/04/03,04:00,21.2,0.0,98,128,0.3
2025/04/03,05:00,20.9,0.0,96,116,0.1
2025/04/03,06:00,20.1,0.0,99,89,0.1
2025/04/03,07:00,19.9,0.0,99,107,0.0
2025/04/03,08:00,20.5,0.0,99,311,0.5
2025/04/03,09:00,22.0,0.0,93,22,0.5
2025/04/03,10:00,24.4,0.0,85,312,1.6
2025/04/03,11:00,25.4,0.0,83,271,1.5
2025/04/03,12:00,25.9,0.0,80,332,1.7
2025/04/03,13:00,27.7,0.0,75,311,2.5
2025/04/03,14:00,28.1,0.0,72,272,2.0
2025/04/03,15:00,28.9,0.0,69,291,2.6
2025/04/03,16:00,28.3,0.0,70,307,1.5
2025/04/03,17:00,26.9,0.0,74,270,1.4
2025/04/03,18:00,27.5,0.0,73,6,0.3
2025/04/03,19:00,25.4,0.0,86,76,0.8
2025/04/03,20:00,22.7,0.0,95,81,0.9
2025/04/03,21:00,22.0,0.0,97,74,0.4
2025/04/03,22:00,21.5,0.0,98,99,0.3
2025/04/03,23:00,21.2,0.0,98,129,0.5
2025/04/04,00:00,21.2,0.0,97,122,0.8
2025/04/04,01:00,21.0,0.0,98,63,0.1
2025/04/04,02:00,20.7,0.0,99,95,0.2
2025/04/04,03:00,20.6,0.0,99,65,0.1
2025/04/04,04:00,20.3,0.0,99,120,0.2
2025/04/04,05:00,20.3,0.0,100,137,0.6
2025/04/04,06:00,20.9,0.0,97,300,0.6
2025/04/04,07:00,20.5,0.0,99,70,0.2
2025/04/04,08:00,21.3,0.0,97,149,1.2
2025/04/04,09:00,23.4,0.0,90,138,0.9
2025/04/04,10:00,26.6,0.0,79,149,0.8
2025/04/04,11:00,28.6,0.0,70,204,0.3
2025/04/04,12:00,30.2,0.0,64,173,0.9
2025/04/04,13:00,31.0,0.0,64,303,1.9
2025/04/04,14:00,26.9,1.2,84,30,0.8
2025/04/04,15:00,29.8,0.0,73,241,1.2
2025/04/04,16:00,28.1,0.6,81,141,2.1
2025/04/04,17:00,27.3,0.0,82,186,0.7
2025/04/04,18:00,27.2,0.0,82,145,2.1
2025/04/04,19:00,25.3,0.0,89,157,1.4
2025/04/04,20:00,24.2,0.0,93,163,0.0
2025/04/04,21:00,23.9,0.0,95,91,0.4
2025/04/04,22:00,23.8,0.0,95,335,0.6
2025/04/05,00:00,23.8,0.0,87,319,1.0
2025/04/05,01:00,23.4,0.6,88,165,0.6
2025/04/05,02:00,22.4,7.0,96,145,1.5
2025/04/05,03:00,21.5,5.4,99,154,0.4
2025/04/05,04:00,21.1,0.4,100,121,0.7
2025/04/05,06:00,20.2,1.6,99,137,1.0
2025/04/05,07:00,19.9,1.6,99,96,0.6
2025/04/05,08:00,20.0,0.0,99,138,0.4
2025/04/05,09:00,20.6,0.0,97,103,0.2
2025/04/05,10:00,21.5,0.0,95,274,1.8
2025/04/05,11:00,23.5,0.0,86,298,1.2
2025/04/05,12:00,25.2,0.0,81,264,1.1
2025/04/05,13:00,25.6,0.0,80,237,1.3
2025/04/05,14:00,25.9,0.0,79,264,1.9
2025/04/05,15:00,27.0,0.0,75,254,1.7
2025/04/05,16:00,27.1,3.2,75,289,0.5
2025/04/05,17:00,23.7,2.0,94,71,0.4
2025/04/05,18:00,26.4,0.0,78,256,0.7
2025/04/05,19:00,25.2,0.0,88,97,0.3
2025/04/05,20:00,22.6,0.0,97,98,0.5
2025/04/05,22:00,21.7,0.0,96,125,0.9
2025/04/06,00:00,21.8,0.0,96,311,0.6
2025/04/06,01:00,21.9,0.0,97,112,0.7
2025/04/06,02:00,21.9,0.0,95,290,0.2
2025/04/06,03:00,21.6,0.0,98,119,0.2
2025/04/06,06:00,21.1,0.2,98,129,0.0
2025/04/06,09:00,20.8,0.8,98,269,0.2
2025/04/06,10:00,21.4,0.4,97,278,1.0
2025/04/06,11:00,22.0,0.0,95,338,1.8
2025/04/06,12:00,23.7,0.0,91,260,1.6
2025/04/06,13:00,23.7,0.0,89,252,2.6
2025/04/06,14:00,23.4,0.0,89,263,2.6
2025/04/06,15:00,24.5,0.0,85,258,2.3
2025/04/06,16:00,25.3,0.0,80,269,2.1
2025/04/06,17:00,25.7,0.0,79,262,1.3
2025/04/06,18:00,25.0,0.0,80,36,0.4
2025/04/06,19:00,23.4,0.0,93,75,0.1
2025/04/06,20:00,22.6,0.0,95,60,0.2
2025/04/06,21:00,22.3,0.0,96,77,0.1
2025/04/06,22:00,22.1,0.0,96,95,0.2
2025/04/06,23:00,22.1,0.0,95,124,0.3
2025/04/07,00:00,21.9,0.0,96,132,0.3
2025/04/07,01:00,21.8,0.0,95,103,0.3
2025/04/07,02:00,21.4,0.0,97,125,0.1
2025/04/07,03:00,21.3,0.0,97,270,0.1
2025/04/07,04:00,21.2,0.0,98,121,0.1
2025/04/07,05:00,21.1,0.0,97,116,0.9
2025/04/07,06:00,21.2,0.0,97,7,0.4
2025/04/07,07:00,21.0,0.0,99,76,0.0
2025/04/07,08:00,21.4,0.0,97,23,0.0
2025/04/07,09:00,23.5,0.0,87,139,0.9
2025/04/07,11:00,27.8,0.0,72,111,0.9
2025/04/07,12:00,29.6,0.0,65,273,1.2
2025/04/07,13:00,30.2,0.0,62,265,2.3
2025/04/07,14:00,30.4,0.0,60,322,1.5
2025/04/07,15:00,29.6,0.0,63,21,1.4
2025/04/07,16:00,29.8,0.0,61,14,1.7
2025/04/07,17:00,29.2,0.0,63,344,1.4
2025/04/07,18:00,27.5,0.0,72,83,0.7
2025/04/07,19:00,24.2,0.0,90,77,1.1
2025/04/07,20:00,23.1,0.0,93,80,0.4
2025/04/07,21:00,23.0,0.0,94,29,0.4
2025/04/07,22:00,22.9,0.0,95,125,1.3
2025/04/07,23:00,23.4,0.0,90,105,1.0
2025/04/08,00:00,23.4,0.0,90,99,0.9
2025/04/08,01:00,23.4,0.0,89,116,1.0
2025/04/08,02:00,23.4,0.0,89,114,1.2
2025/04/08,03:00,22.9,0.0,93,118,1.6
2025/04/08,04:00,22.4,0.0,94,110,1.6
2025/04/08,05:00,22.3,0.0,93,130,1.3
2025/04/08,06:00,22.4,0.0,92,82,0.3
2025/04/08,07:00,21.7,30.8,98,143,1.3
2025/04/08,08:00,21.7,10.6,100,129,1.0
2025/04/08,09:00,21.8,3.2,100,138,0.7
2025/04/08,10:00,21.7,5.0,100,125,0.9
2025/04/08,11:00,21.8,1.6,100,108,1.4
2025/04/08,12:00,22.0,1.8,100,134,0.8
2025/04/08,13:00,22.6,0.8,99,150,1.9
2025/04/08,14:00,24.0,0.0,95,138,1.7
2025/04/08,15:00,25.9,0.0,81,152,2.2
2025/04/08,16:00,27.2,0.0,76,152,1.7
2025/04/08,17:00,26.8,0.0,76,122,0.8
2025/04/08,18:00,27.0,0.0,73,196,0.2
2025/04/08,19:00,24.6,0.0,88,61,0.4
2025/04/08,20:00,22.3,0.0,98,122,1.3
2025/04/08,21:00,22.4,0.0,96,129,0.8
2025/04/08,22:00,22.5,0.0,96,102,0.8
2025/04/08,23:00,22.3,0.0,98,161,0.1
2025/04/09,00:00,22.8,0.0,96,133,1.6
2025/04/09,01:00,23.2,0.0,92,105,1.4
2025/04/09,02:00,22.9,0.2,92,120,2.0
2025/04/09,03:00,22.1,0.2,95,108,1.5
2025/04/09,04:00,21.7,0.0,95,322,0.6
