Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2017-07-01,30,S/D,S/D,0.0
2017-07-02,29.6,19.2,90.2,0.0
2017-07-03,S/D,16,S/D,S/D
2017-07-04,30.6,S/D,S/D,0.0
2017-07-05,31,16,81.9,0.0
2017-07-06,31.4,17,79.5,0.0
2017-07-07,31.8,18,83.3,0.0
2017-07-08,31.6,18,80.4,0.0
2017-07-09,32,17,81.0,0.0
2017-07-10,31.2,18,81.7,0.0
2017-07-11,32.2,16,81.1,0.0
2017-07-12,32,16,79.2,0.0
2017-07-13,31.6,17,80.7,0.0
2017-07-14,32.4,15,78.9,0.0
2017-07-15,32.2,18,81.5,0.0
2017-07-16,32.8,18.2,86.9,0.0
2017-07-17,32.4,18.2,79.5,0.0
2017-07-18,22.6,12,78.0,0.0
2017-07-19,26,10,71.0,0.0
2017-07-20,27.8,10,74.6,0.0
2017-07-21,30.4,9.5,76.6,0.0
2017-07-22,32,15,82.3,0.0
2017-07-23,32.2,14,79.1,0.0
2017-07-24,34.2,16,73.1,0.0
2017-07-25,34.8,17,73.6,0.0
2017-07-26,34.6,16,70.3,0.0
2017-07-27,34.2,17,70.6,0.0
2017-07-28,34.8,18,68.0,0.0
2017-07-29,34,18,73.6,0.0
2017-07-30,33,18,79.0,0.0
2017-07-31,33.6,19,75.5,0.0
2017-08-01,33.4,18.6,71.5,0.0
