Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-10-01,0.580,0.580,0.580,0.580
2023-10-02,0.570,0.570,0.570,0.570
2023-10-03,0.560,0.560,0.560,0.560
2023-10-04,0.520,0.520,0.520,0.550
2023-10-05,0.470,0.460,0.450,0.440
2023-10-06,0.440,0.440,0.440,0.440
2023-10-07,0.430,0.430,0.430,0.430
2023-10-08,0.420,0.850,1.000,1.250
2023-10-09,1.180,1.150,1.100,1.280
2023-10-10,1.080,1.050,1.000,0.950
2023-10-11,0.680,0.670,0.660,0.650
2023-10-12,0.600,0.580,0.560,0.540
2023-10-13,0.550,0.540,0.530,0.650
2023-10-14,0.600,0.580,0.570,0.560
2023-10-15,0.550,0.550,0.550,0.550
2023-10-16,0.500,0.480,0.480,0.480
2023-10-17,1.400,1.350,1.250,1.150
2023-10-18,1.000,0.980,0.960,0.940
2023-10-19,0.660,0.650,0.640,0.600
2023-10-20,0.550,0.450,0.400,0.350
2023-10-21,0.160,0.160,0.160,0.160
2023-10-22,0.100,0.080,0.080,0.080
2023-10-23,0.070,0.070,0.070,0.070
2023-10-24,0.050,0.050,0.050,0.050
2023-10-25,0.040,0.040,0.040,0.040
2023-10-26,0.030,0.030,0.360,0.350
2023-10-27,0.400,0.380,0.370,0.340
2023-10-28,0.440,0.550,0.650,0.750
2023-10-29,0.950,0.900,0.850,0.800
2023-10-30,0.760,0.740,0.710,0.680
2023-10-31,0.880,0.850,0.820,0.700
