Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-06-01,1.820,1.780,1.720,1.660
2023-06-02,1.400,1.320,1.300,1.240
2023-06-03,1.100,1.080,1.040,1.020
2023-06-04,0.920,0.900,0.880,0.860
2023-06-05,0.800,0.780,0.740,0.720
2023-06-06,0.760,0.780,1.080,1.200
2023-06-07,1.160,1.140,1.100,1.060
2023-06-08,1.000,1.000,0.980,0.940
2023-06-09,0.840,0.820,0.800,0.760
2023-06-10,0.700,0.700,0.680,0.660
2023-06-11,0.620,0.600,0.580,0.580
2023-06-12,0.500,0.500,0.480,0.460
2023-06-13,0.400,0.400,0.400,0.380
2023-06-14,1.180,1.220,1.320,3.040
2023-06-15,3.560,3.440,3.260,3.100
2023-06-16,1.920,1.880,1.820,1.780
2023-06-17,1.500,1.460,1.420,1.360
2023-06-18,1.220,1.200,1.160,1.120
2023-06-19,1.040,1.020,1.000,1.000
2023-06-20,0.900,0.900,0.880,0.860
2023-06-21,0.780,0.760,0.740,0.720
2023-06-22,0.660,0.660,0.640,0.620
2023-06-23,0.560,0.540,0.540,0.500
2023-06-24,0.440,0.440,0.420,0.400
2023-06-25,0.360,0.360,0.360,0.360
2023-06-26,0.300,0.300,0.300,0.280
2023-06-27,0.280,0.280,0.280,0.280
2023-06-28,0.240,0.240,0.240,0.240
2023-06-29,0.200,0.200,0.200,0.200
2023-06-30,0.200,0.200,0.200,0.200
