Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PUERTO ESPERANZA
Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/04/01,00:00,22.0,S/D,93,148,0.0
2022/04/01,01:00,21.0,S/D,95,127,0.0
2022/04/01,02:00,20.2,S/D,93,132,0.0
2022/04/01,05:00,18.2,S/D,95,140,0.0
2022/04/01,08:00,16.5,S/D,96,163,0.0
2022/04/01,09:00,17.6,S/D,93,175,0.0
2022/04/01,10:00,18.1,S/D,90,129,0.0
2022/04/01,11:00,19.0,S/D,86,128,0.0
2022/04/01,12:00,19.3,S/D,86,130,0.0
2022/04/01,13:00,19.4,S/D,87,154,0.0
2022/04/01,15:00,19.2,S/D,92,145,0.0
2022/04/01,16:00,19.3,S/D,91,161,0.0
2022/04/01,17:00,19.0,S/D,92,150,0.0
2022/04/01,18:00,18.8,S/D,93,151,0.0
2022/04/01,19:00,18.8,S/D,93,151,0.0
2022/04/01,20:00,17.9,S/D,96,176,0.0
2022/04/01,21:00,17.8,S/D,98,151,0.0
2022/04/01,22:00,17.7,S/D,99,81,0.0
2022/04/01,23:00,17.7,S/D,100,80,0.0
2022/04/02,00:00,17.8,S/D,100,131,0.0
2022/04/02,01:00,18.0,S/D,100,262,0.0
2022/04/02,02:00,18.2,S/D,99,182,0.0
2022/04/02,03:00,18.1,S/D,99,150,0.0
2022/04/02,04:00,18.2,S/D,98,156,0.0
2022/04/02,05:00,18.3,S/D,98,180,0.0
2022/04/02,06:00,18.3,S/D,97,155,0.0
2022/04/02,07:00,18.7,S/D,96,121,0.0
2022/04/02,08:00,20.2,S/D,88,163,0.0
2022/04/02,09:00,21.0,S/D,84,163,0.0
2022/04/02,10:00,21.6,S/D,79,121,0.0
2022/04/02,11:00,22.5,S/D,77,151,0.0
2022/04/02,12:00,22.7,S/D,77,158,0.0
2022/04/02,13:00,23.6,S/D,74,146,0.0
2022/04/02,14:00,23.6,S/D,75,142,0.0
2022/04/02,15:00,23.8,S/D,75,141,0.0
2022/04/02,16:00,23.2,S/D,78,128,0.0
2022/04/02,17:00,22.7,S/D,82,112,0.0
2022/04/02,18:00,22.0,S/D,88,70,0.0
2022/04/02,19:00,22.0,S/D,88,70,0.0
2022/04/02,20:00,21.4,S/D,94,196,0.0
2022/04/02,21:00,21.3,S/D,96,222,0.0
2022/04/02,22:00,21.3,S/D,97,258,0.0
2022/04/02,23:00,21.1,S/D,96,290,0.0
2022/04/03,00:00,20.8,S/D,96,233,0.0
2022/04/03,01:00,20.6,S/D,98,121,0.0
2022/04/03,02:00,20.3,S/D,99,95,0.0
2022/04/03,03:00,19.7,S/D,99,142,0.0
2022/04/03,04:00,19.2,S/D,100,172,0.0
2022/04/03,05:00,19.3,S/D,100,194,0.0
2022/04/03,06:00,19.4,S/D,100,279,0.0
2022/04/03,07:00,19.5,S/D,100,244,0.0
2022/04/03,08:00,20.6,S/D,99,219,0.0
2022/04/03,09:00,24.5,S/D,81,221,0.0
2022/04/03,10:00,26.8,S/D,71,56,0.0
2022/04/03,11:00,27.5,S/D,68,64,0.0
2022/04/03,12:00,27.9,S/D,67,166,0.0
2022/04/03,13:00,28.0,S/D,68,179,0.0
2022/04/03,14:00,28.0,S/D,68,116,0.0
2022/04/03,15:00,27.7,S/D,70,88,0.0
2022/04/03,16:00,27.4,S/D,72,42,0.0
2022/04/03,17:00,26.8,S/D,77,34,0.0
2022/04/03,18:00,25.8,S/D,85,60,0.0
2022/04/03,19:00,25.8,S/D,85,60,0.0
2022/04/03,20:00,24.1,S/D,95,85,0.0
2022/04/03,21:00,23.8,S/D,97,251,0.0
2022/04/03,22:00,23.8,S/D,97,23,0.0
2022/04/03,23:00,23.7,S/D,97,97,0.0
2022/04/04,00:00,23.4,S/D,99,339,0.0
2022/04/04,01:00,23.3,S/D,99,57,0.0
2022/04/04,02:00,23.1,S/D,98,64,0.0
2022/04/04,03:00,23.0,S/D,98,78,0.0
2022/04/04,04:00,22.8,S/D,98,60,0.0
2022/04/04,05:00,22.1,S/D,99,61,0.0
2022/04/04,06:00,21.7,S/D,99,58,0.0
2022/04/04,07:00,22.7,S/D,98,33,0.0
